Test,Unit,n_obs,n_missing,mean,median,std,p10,p25,p75,p90,min,max,first_sample,last_sample,n_years,n_sites,lat_min,lat_max,lon_min,lon_max,frac_neg,frac_zero,frac_high
Calcium,mg/l,2539,0,79.02949586451359,81.2,28.185758992619537,42.96,59.7,98.75,110.0,0.5,338.0,2000-01-04 10:45:00,2025-08-19 14:05:00,16,257,50.20470844114314,55.09340529039847,-5.179031010412471,1.366357561239748,0.0,0.0,0.009452540370224497
"Hardness, Total as CaCO3",mg/l,2424,0,281.973948019802,287.0,116.36145062461222,133.3,196.75,344.0,421.0,1.66,875.0,2000-01-04 10:45:00,2025-08-19 14:05:00,15,242,50.20470844114314,55.033726738213495,-5.179031010412471,1.366357561239748,0.0,0.0,0.010313531353135313
cis-Permethrin,mg/l,2419,0,2.4254505994212443e-05,1e-05,0.0005082152976089686,5e-06,5e-06,2.5e-05,2.5e-05,1e-06,0.025,2000-01-05 11:45:00,2014-08-22 10:40:00,15,54,50.479527090135335,54.02245377334156,-3.764528321352169,0.7123807159998174,0.0,0.0,0.0062009094667217855
Phage : F+ Coliphage,pfu/ml,2396,0,24.781719532554256,1.0,125.77889079346363,0.0,0.0,5.0,41.5,0.0,3615.0,2002-12-12 08:30:00,2025-09-30 12:26:00,10,61,50.9776020655385,54.86896156646967,-3.5259549943196347,1.2166334475416651,0.0,0.4428213689482471,0.01001669449081803
"2,5-Dichlorophenol",mg/l,2394,0,0.0001978657059314952,0.0001,0.002313220025227298,3.440000000000009e-05,0.0001,0.0001,0.00010070000000000028,2e-05,0.1,2000-01-05 10:55:00,2017-09-13 11:00:00,14,65,50.515728209386374,54.99106705638183,-3.657405622795426,1.1357957507980339,0.0,0.0,0.005847953216374269
Sulcofuron,mg/l,2355,0,0.0009552084925690017,0.00025,0.002123821676668355,0.0002,0.00025,0.0005,0.0025,0.0,0.033,2000-01-11 10:15:00,2025-07-21 07:30:00,26,23,50.479527090135335,53.867332746942346,-3.764528321352169,0.7123807159998174,0.0,0.0016985138004246285,0.005520169851380042
"2,5-Dimethylphenol :- {2,5-Xylenol}",mg/l,2339,0,0.00020623031209918749,0.0001,0.0023458571031375382,2.6e-05,0.0001,0.0001,0.0002,2e-05,0.1,2000-01-05 10:55:00,2017-09-13 11:00:00,14,68,50.515728209386374,54.99106705638183,-3.657405622795426,1.3428963545646073,0.0,0.0,0.007695596408721676
trans-Permethrin,mg/l,2329,0,1.2781060541004681e-05,5e-06,1.3050874614877338e-05,5e-06,5e-06,2.5e-05,2.5e-05,1e-06,0.000163,2000-01-05 11:45:00,2014-08-22 10:40:00,15,51,50.479527090135335,54.02245377334156,-3.764528321352169,0.7123807159998174,0.0,0.0,0.0098754830399313
Tin,mg/l,2324,0,0.0024863885542168672,0.0025,0.0014575970882551388,0.002,0.0025,0.0025,0.0025,7e-06,0.051,2000-01-05 11:01:00,2025-08-05 09:20:00,26,44,51.023988624776855,54.58318681993097,-2.775568030975147,1.344966801706201,0.0,0.0,0.0025817555938037868
"Flow, maximum",l/s,2315,0,698.0142388768899,18.6,17174.859222940893,1.074,3.1900000000000004,286.5,1100.0,0.0,817265.0,2003-04-07 14:00:00,2015-08-13 10:29:00,12,156,51.65161614546548,55.65083023178903,-3.1218256300489533,-0.3183137396937486,0.0,0.003023758099352052,0.010367170626349892
"DDT : Total Isomers (DDT op pp, DDE pp, TDE pp)",mg/l,2212,0,4.7693092224227535e-05,4e-05,3.356291565962075e-05,2e-05,4e-05,4.45e-05,8e-05,1.6999999999999998e-06,0.00025,2000-01-06 09:20:00,2009-12-08 13:43:00,10,57,51.31547081823885,55.76539182754644,-2.0443623168433858,1.3428963545646073,0.0,0.0,0.0004520795660036166
Flucofuron,mg/l,2131,0,0.0005637794462693568,0.00025,0.001164278541915207,0.00025,0.00025,0.0004,0.0005,0.0,0.01,2000-01-10 14:35:00,2015-03-17 08:35:00,16,24,50.95039144045738,53.867332746942346,-2.2579709654044127,1.2641677055776441,0.0,0.0018770530267480056,0.010323791647114031
Enterovirus,pfu/10l,2117,0,160.67820028341993,3.3,1046.0199043803384,0.0,1.0,7.3,124.70000000000005,0.0,21300.0,2001-02-23 12:35:00,2006-11-07 09:00:00,6,63,50.23522237701555,54.86896156646967,-4.256412641615366,0.9529413889808444,0.0,0.1483230987246103,0.010392064241851677
4-Chlorophenol,mg/l,2111,0,0.0003201203221222167,0.0001,0.0037024132184970276,0.0001,0.0001,0.0005,0.0005,2e-05,0.168,2000-01-06 11:25:00,2017-09-13 11:00:00,14,63,50.515728209386374,54.99106705638183,-3.657405622795426,0.7449935996705789,0.0,0.0,0.008526764566556135
Salmonella : Confirmed : MPN,no/l,2111,0,4.847939365229749,0.0,20.199786359625687,0.0,0.0,1.0,15.0,0.0,180.0,2002-12-10 08:05:00,2006-11-07 09:00:00,5,26,53.403597607520474,54.86896156646967,-3.5259549943196347,-2.784093623542873,0.0,0.6816674561819043,0.008526764566556135
"Microtox, 15 Minutes : EC50",%,2026,0,97.3997532082922,100.0,11.013263605657778,100.0,100.0,100.0,100.0,1.0,238.0,2000-01-06 10:18:00,2008-04-21 10:30:00,9,39,53.19293966762567,54.84874501966108,-3.1269896028627637,-0.39329347589864,0.0,0.0,0.0014807502467917078
"Microtox, 5 Minutes : EC50",%,2026,0,97.60923000987167,100.0,10.238923974107976,100.0,100.0,100.0,100.0,2.0,174.0,2000-01-06 10:18:00,2008-04-21 10:30:00,9,39,53.19293966762567,54.84874501966108,-3.1269896028627637,-0.39329347589864,0.0,0.0,0.0009871668311944718
Naphthalene,mg/l,1996,0,0.004232775450901803,0.0001,0.13128943002043147,2e-05,5e-05,0.0005,0.0005,1e-06,5.85,2000-01-10 10:15:00,2019-02-07 11:10:00,16,43,50.515728209386374,54.89911946272158,-3.657405622795426,1.1650600695103228,0.0,0.0,0.000501002004008016
Chlorine Free as Cl2,mg/l,1981,0,0.08869257950530035,0.04,0.5974280370766946,0.01,0.02,0.07,0.1,0.0,19.0,2000-02-11 12:40:00,2025-09-01 11:03:00,26,59,50.64883777689488,54.9925845642275,-3.7790696686111755,0.6634361753732071,0.0,0.0348308934881373,0.010095911155981827
Salmonella : Presumptive,no/l,1920,0,2.519270833333333,0.0,5.4240353951923534,0.0,0.0,1.0,15.0,0.0,18.0,2002-12-10 08:05:00,2006-11-07 09:00:00,5,26,53.403597607520474,54.86896156646967,-3.5259549943196347,-2.784093623542873,0.0,0.6411458333333333,0.0
Propazine,mg/l,1910,0,0.00023261052356020922,4e-05,0.005159168135579401,2e-05,2e-05,0.0001,0.0001,2e-06,0.2,2000-01-06 11:20:00,2014-02-24 11:30:00,13,57,50.515728209386374,54.97725957729312,-4.240149177360908,1.1357957507980339,0.0,0.0,0.0062827225130890054
"Mercury, Dissolved",mg/l,1902,0,1.519952681387997e-05,1e-05,2.4389601072820697e-05,1e-05,1e-05,1e-05,2e-05,1e-05,0.000601,2000-01-06 09:20:00,2014-11-26 14:19:00,13,58,50.343820147642,54.9925845642275,-4.033563597997406,1.1357957507980339,0.0,0.0,0.010515247108307046
Carbophenothion,mg/l,1899,0,3.0371774618219958e-05,2e-05,0.00023450112366594264,1e-05,1e-05,3e-05,5e-05,2e-06,0.01,2000-01-04 10:51:00,2014-02-24 11:30:00,13,56,50.515728209386374,54.97725957729312,-4.240149177360908,0.5060212042124568,0.0,0.0,0.007898894154818325
"Coliforms, Faecal : Confirmed",no/100ml,1891,0,121986.1485986092,840.0,793688.2395649601,18.0,90.0,9200.0,76364.0,0.0,9999999.99999,2000-03-15 10:00:00,2025-06-03 12:10:00,26,100,50.23522237701555,54.5624323716657,-5.072011478647658,1.6656041307135583,0.0,0.0031729243786356425,0.010047593865679535
Flow : Integrator :- {Cumulative Flow},m3,1875,0,1944895.0982811735,701707.0,2807757.3660432333,23769.600000000002,180000.0,1959391.0,7438230.4,0.0,9999999.0,2000-01-05 11:01:00,2014-05-06 14:15:00,12,29,51.58348720000826,52.7690486353953,-1.1476250669006447,1.7215345757240053,0.0,0.0144,0.0
Demeton-S-methyl,mg/l,1875,0,2.515728e-05,1e-05,0.0002310759477132886,1e-05,1e-05,2e-05,5e-05,1e-05,0.01,2000-01-04 10:51:00,2013-10-01 09:30:00,14,36,51.51523004416228,54.89911946272158,-3.5788161478792353,0.7123807159998174,0.0,0.0,0.005333333333333333
DDE -op,mg/l,1846,0,1.684003250270856e-05,5e-06,0.00012321876210301538,5e-06,5e-06,2.5e-05,2.5e-05,1e-06,0.005,2000-01-04 10:51:00,2017-10-19 11:15:00,17,47,50.38773405295359,54.97725957729312,-4.240149177360908,0.7449935996705789,0.0,0.0,0.0027085590465872156
"2,4-Dimethylphenol :- {2,4-Xylenol}",mg/l,1778,0,0.0005516776152980873,0.0001,0.01398353855024044,5.9700000000000015e-05,0.0001,0.0001,0.0002,2e-05,0.581,2000-01-05 10:55:00,2017-09-13 11:00:00,14,58,50.515728209386374,54.97725957729312,-3.657405622795426,1.3428963545646073,0.0,0.0,0.00562429696287964
"3,5-Dimethylphenol :- {3,5-Xylenol}",mg/l,1775,0,0.0003423087999999997,0.0001,0.004957455037316656,6.900000000000001e-05,0.0001,0.0001,0.0002,2e-05,0.181,2000-01-05 10:55:00,2017-09-13 11:00:00,14,58,50.515728209386374,54.97725957729312,-3.657405622795426,1.3428963545646073,0.0,0.0,0.006197183098591549
Metals : Total ( Cr Cu Ni Pb ),mg/l,1711,0,0.03554790765634131,0.0294,0.03960285030729031,0.0107,0.0147,0.04285,0.0612,0.00695,0.967,2000-01-05 09:35:00,2009-12-16 12:02:00,10,12,51.88896307628895,53.50315960239895,-2.2925168591797433,-1.046339241239667,0.0,0.0,0.010520163646990065
Detergents : Anionic + non-ionic,mg/l,1699,0,0.3023600353148911,0.137,2.4279061017765535,0.075,0.09215000000000001,0.2395,0.451,0.055,95.8,2000-06-08 14:20:00,2008-05-09 11:10:00,9,23,53.60066504462908,54.89911946272158,-2.0443623168433858,-1.242624055590094,0.0,0.0,0.010005885815185403
"Orthophosphate, Dissolved",mg/l,1678,0,6.0628015494636465,6.58,3.4089919898630576,0.147,4.27,8.46,10.0,0.004,17.5,2000-01-04 09:05:00,2004-10-14 10:00:00,5,689,51.55294528082153,53.65211875381979,-1.2360055302403719,1.7427820456040073,0.0,0.0,0.009535160905840286
Linuron,mg/l,1666,0,7.624825930372028e-05,4e-05,0.0001635739970303186,1e-05,4e-05,4e-05,5.1500000000000005e-05,4e-06,0.002,2000-01-04 10:51:00,2014-08-22 10:40:00,15,42,50.515728209386374,54.57506674870511,-3.657405622795426,0.7123807159998174,0.0,0.0,0.01020408163265306
"2,4,5-Trichlorophenol",mg/l,1662,0,0.00024805655836341743,0.0001,0.0027775984445226674,0.0001,0.0001,0.0001,0.0001,2e-05,0.1,2000-01-05 10:55:00,2017-09-13 11:00:00,14,56,50.515728209386374,54.97725957729312,-3.657405622795426,0.7449935996705789,0.0,0.0,0.009626955475330927
MCPA :- {4-Chloro-2-methylphenoxyacetic acid},mg/l,1639,0,0.006144639109212931,0.0001049999999999,0.03850400934703246,4e-05,4e-05,0.0013919999999999501,0.01,5e-06,1.2,2000-01-04 10:51:00,2025-09-04 09:52:00,26,37,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.010372178157413058
Eulan,mg/l,1632,0,4.058884803921539e-05,4e-05,3.845966711378126e-05,1e-05,2e-05,4e-05,8e-05,1e-05,0.0007,2000-03-01 11:45:00,2009-02-19 09:25:00,10,28,53.369106470690454,53.867332746942346,-2.0443623168433858,-0.239664684597996,0.0,0.0,0.006740196078431373
Dibutyl Tin as Cation,mg/l,1624,0,8.534495073891583e-05,2e-05,0.0020734560220746208,2.330000000000001e-06,4.03e-06,2.4375e-05,0.0001,4e-08,0.0835,2000-01-05 11:45:00,2014-08-19 11:35:00,15,63,50.15131692651347,55.1690268435549,-5.283105894880979,0.7123807159998174,0.0,0.0,0.009852216748768473
Coumaphos,mg/l,1613,0,4.551177929324235e-05,3e-05,0.00031341295404291525,1e-05,2e-05,3e-05,5e-05,1e-06,0.01,2000-01-04 10:51:00,2014-02-24 11:30:00,13,49,50.515728209386374,54.97725957729312,-4.240149177360908,0.5060212042124568,0.0,0.0,0.010539367637941723
3-Chlorophenol,mg/l,1577,0,0.00011963094483195935,0.0001,0.00042178361848044693,0.0001,0.0001,0.0001,0.0001,2e-05,0.0152,2000-01-06 11:25:00,2017-09-13 11:00:00,14,49,50.515728209386374,54.99106705638183,-3.657405622795426,0.7449935996705789,0.0,0.0,0.010145846544071021
Dimethoate,mg/l,1575,0,4.9504685714285584e-05,5e-05,5.540804520056119e-05,1e-05,5e-05,5e-05,6.500000000000001e-05,2e-08,0.00125,2000-01-10 10:15:00,2014-08-22 10:40:00,15,50,50.515728209386374,54.89911946272158,-4.240149177360908,0.7123807159998174,0.0,0.0,0.010158730158730159
4-Chloro-2-methylphenol :- {p-Chloro-o-cresol},mg/l,1560,0,0.00045753653846153836,0.0001,0.004023451633138653,0.0001,0.0001,0.0001,0.0002,2e-05,0.1,2000-01-05 10:55:00,2017-09-13 11:00:00,14,50,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.008974358974358974
Ethylbenzene,mg/l,1534,0,0.005867041069100391,0.01,0.0053028400375094665,0.0001,0.0001,0.01,0.01,5e-05,0.0689,2000-01-04 11:30:00,2015-11-26 11:49:00,16,64,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.001955671447196871
Turbidity,NTU,1526,0,103.4885137614679,7.085,2547.325332580551,1.81,3.6,11.9,26.15,0.08,96200.0,2000-01-05 11:45:00,2025-09-19 09:50:00,25,289,50.00174533222727,55.687393518970374,-5.610105525162705,1.5751045831186634,0.0,0.0,0.010484927916120577
Cobalt,mg/l,1439,0,0.0014683321751216092,0.001,0.001923554348921475,0.001,0.001,0.00117,0.002,0.0001,0.0366,2000-01-07 11:40:00,2025-08-08 08:05:00,26,49,50.75524287873655,54.853561874646466,-3.1643326385362145,1.1650600695103228,0.0,0.0,0.010423905489923557
Terbutryn,mg/l,1414,0,0.0008632007072135778,5e-05,0.018863115236521736,2e-05,2e-05,0.0001,0.00011350000000000022,4e-06,0.673,2000-01-06 15:07:00,2014-02-24 11:30:00,13,41,50.515728209386374,54.60380955784337,-4.240149177360908,0.5060212042124568,0.0,0.0,0.010608203677510608
Chlorine : Total Available,mg/l,1406,0,0.08017780938833571,0.04,0.31267421398455014,0.02,0.04,0.07,0.11,0.0,10.0,2000-02-18 14:45:00,2025-08-26 12:27:00,26,79,50.64883777689488,54.55651943201635,-3.7790696686111755,0.5799732779070579,0.0,0.013513513513513514,0.00995732574679943
Prometryn,mg/l,1384,0,0.00028399349710982636,5e-05,0.006008084015671285,2e-05,2.5e-05,0.0001,0.0001,5e-06,0.2,2000-01-06 15:07:00,2014-02-24 11:30:00,13,42,50.515728209386374,54.60380955784337,-4.240149177360908,1.1357957507980339,0.0,0.0,0.006502890173410405
"Solids, non-volatile at 500 C",mg/l,1371,0,20.490444930707515,20.0,23.5051968912575,10.0,20.0,20.0,20.0,1.0,604.0,2000-01-06 09:40:00,2012-06-27 10:28:00,11,220,50.06503090432717,54.9925845642275,-5.160413470979203,1.1357957507980339,0.0,0.0,0.010211524434719184
Desmetryn,mg/l,1356,0,0.00021742256637168113,5e-05,0.005431295659088631,2e-05,3e-05,0.0001,0.0001,5e-06,0.2,2000-01-06 15:07:00,2014-02-24 11:30:00,13,40,50.515728209386374,54.60380955784337,-4.240149177360908,0.5060212042124568,0.0,0.0,0.008849557522123894
Turbidity : In Situ,NTU,1348,0,11.89753709198813,6.4,58.18490608084779,1.2,3.2,10.9,18.929999999999996,0.0,1806.0,2005-10-31 10:42:00,2013-11-06 12:57:00,9,40,50.76740327947192,52.66107135392647,-1.6894491163763135,0.48292295694316306,0.0,0.000741839762611276,0.010385756676557863
pH : Instrumental,phunits,1305,0,7.638911877394636,7.7,0.5313763057113063,7.3,7.5,7.8,8.1,0.0,9.4,2000-02-07 12:30:00,2008-06-26 13:23:00,6,618,51.55294528082153,53.65211875381979,-1.2360055302403719,1.7427820456040073,0.0,0.0022988505747126436,0.010727969348659003
"Oils, Grease and Fats",mg/l,1264,0,1.8884430379746833,0.2,4.073063826628156,0.2,0.2,1.0,8.2,0.1,53.8,2000-01-18 08:55:00,2025-09-08 11:44:00,26,51,50.26693934284314,54.89423911628222,-3.843656486218776,1.4858352573888691,0.0,0.0,0.010284810126582278
Chlorobenzene,mg/l,1256,0,0.0077336942675159245,0.01,0.0038949324987986884,0.001,0.004,0.01,0.01,8.999999999999999e-05,0.0453,2000-01-04 11:30:00,2014-02-24 11:30:00,14,58,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.0023885350318471337
Metals : Total ( Cr Ni Pb ) : Group 44,mg/l,1236,0,0.010752200647249178,0.008165,0.01100569358775549,0.006495,0.00697,0.010325,0.01545,0.0059,0.217,2000-01-04 11:50:00,2006-10-03 11:15:00,7,10,51.74150911988352,53.08294700990881,-2.3077197002743683,-1.2440358224076205,0.0,0.0,0.010517799352750809
"Optical Density at 750 nm, Filtered",abs/cm,1221,0,0.0012432350532350532,0.001,0.0012226066353773094,0.0,0.0006,0.0017,0.0021,0.0,0.012,2000-01-05 09:44:00,2009-10-22 11:30:00,8,31,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.12448812448812449,0.00819000819000819
"Optical Density at 800 nm, Filtered",abs/cm,1220,0,0.000995967213114754,0.001,0.001088709510958859,0.0,0.0004,0.0011,0.002,0.0,0.0114,2000-01-05 09:44:00,2009-10-22 11:30:00,8,30,52.05582606562789,53.680020836129444,-2.3770259818177273,-1.046339241239667,0.0,0.17131147540983607,0.010655737704918032
"Dichlorprop :- {2,4-DP}",mg/l,1207,0,0.0018102988400994168,8e-05,0.008297024900135268,4e-05,4e-05,0.0006184999999999999,0.0044,5e-06,0.228,2000-01-04 10:51:00,2025-09-04 09:52:00,26,33,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.010770505385252692
"2,3-Dichlorophenol",mg/l,1157,0,0.00047631460674157276,0.0001,0.004242504749930882,0.0001,0.0001,0.0001,0.0002,2e-05,0.1,2000-01-05 10:55:00,2017-09-13 11:00:00,14,50,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.00864304235090752
pH : In Situ,phunits,1156,0,7.49895847750865,7.5,1.780694081809957,7.0,7.3,7.7,7.9,0.0,62.9,2000-10-20 11:30:00,2016-09-28 09:15:00,11,623,50.17024638655583,54.68026165698894,-5.179031010412471,1.344966801706201,0.0,0.0017301038062283738,0.010380622837370242
TDE -op,mg/l,1108,0,2.4808483754512634e-05,2.5e-05,0.00015586509291959358,5e-06,8.999999999999999e-06,2.5e-05,2.5e-05,1e-06,0.005,2000-01-04 10:51:00,2017-10-19 11:15:00,14,40,50.515728209386374,54.97725957729312,-4.240149177360908,0.7449935996705789,0.0,0.0,0.008122743682310469
PCSDs :- {chlorphenylid},mg/l,1076,0,6.45724907063197e-05,1.6e-05,9.157149625432425e-05,2e-06,8e-06,5e-05,0.00025,2e-06,0.00025,2000-01-10 14:35:00,2013-10-01 09:30:00,14,19,50.95039144045738,53.867332746942346,-2.2579709654044127,0.7123807159998174,0.0,0.0,0.0
PCB : Total,mg/l,1074,0,4.87638733705771e-05,4e-05,6.135329039732504e-05,3.5000000000000004e-05,3.5000000000000004e-05,5e-05,5e-05,7e-06,0.0009,2001-03-27 09:50:00,2016-04-19 13:02:00,12,15,50.343820147642,55.156662902851565,-4.033563597997406,0.23685986931474262,0.0,0.0,0.0074487895716946
Ioxynil,mg/l,1048,0,8.910973282442739e-05,8e-05,0.00010985024268207855,4e-05,4e-05,8e-05,0.0001,5e-06,0.001,2000-01-04 10:51:00,2014-02-24 11:30:00,12,33,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.008587786259541985
"Optical Density at 540 nm, Filtered",abs/cm,1043,0,0.01091392138063279,0.0085,0.007937702028595728,0.004,0.0056500000000000005,0.014,0.02134000000000002,0.0,0.09,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0019175455417066154,0.010546500479386385
"Optical Density at 580 nm, Filtered",abs/cm,1043,0,0.008519789069990411,0.007,0.006121585197458746,0.003,0.0043,0.0109,0.0168,0.0,0.044,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.003835091083413231,0.010546500479386385
"Optical Density at 640 nm, Filtered",abs/cm,1043,0,0.006072665388302972,0.005,0.004283152146850668,0.0022,0.0034,0.007350000000000001,0.011180000000000008,0.0,0.046,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.004793863854266539,0.010546500479386385
"Optical Density at 630 nm, Filtered",abs/cm,1043,0,0.006807238734419943,0.0056,0.0046146685350773094,0.0026,0.004,0.0084,0.0124,0.0,0.043,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0028763183125599234,0.010546500479386385
"Optical Density at 620 nm, Filtered",abs/cm,1043,0,0.007215656759348034,0.006,0.004991162749332676,0.0027,0.004,0.009,0.0133,0.0,0.0403,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.004793863854266539,0.010546500479386385
"Optical Density at 610 nm, Filtered",abs/cm,1043,0,0.00741071907957814,0.006,0.0052839837455570604,0.0026,0.004,0.0091,0.014,0.0,0.0434,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.004793863854266539,0.010546500479386385
"Optical Density at 590 nm, Filtered",abs/cm,1043,0,0.008051093000958773,0.0062,0.005825360479481993,0.003,0.004,0.01,0.01564000000000002,0.0,0.045,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.003835091083413231,0.009587727708533078
"Optical Density at 530 nm, Filtered",abs/cm,1043,0,0.011576097794822627,0.009,0.008004394367593492,0.0043,0.006,0.0144,0.023,0.0,0.0547,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0009587727708533077,0.00862895493767977
"Optical Density at 460 nm, Filtered",abs/cm,1043,0,0.019789357622243528,0.0154,0.012944742738199327,0.008620000000000001,0.0115,0.024,0.037,0.0001,0.111,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010546500479386385
"Optical Density at 570 nm, Filtered",abs/cm,1043,0,0.009026414189837009,0.007,0.006423776819500085,0.00302,0.0046,0.01125,0.01724000000000002,0.0,0.042,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0028763183125599234,0.009587727708533078
"Optical Density at 470 nm, Filtered",abs/cm,1043,0,0.01827077660594439,0.0142,0.012218425078235964,0.00772,0.01015,0.022,0.03418000000000001,0.0001,0.0952,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010546500479386385
"Optical Density at 480 nm, Filtered",abs/cm,1043,0,0.01685158197507191,0.013,0.011186824101747409,0.007,0.0094,0.02095,0.032,0.0001,0.0833,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010546500479386385
"Optical Density at 490 nm, Filtered",abs/cm,1043,0,0.01584246404602109,0.0122,0.011406163071549567,0.00642,0.0089,0.0193,0.030160000000000013,0.0001,0.162,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010546500479386385
"Optical Density at 510 nm, Filtered",abs/cm,1043,0,0.013681332694151485,0.0107,0.010802286148502179,0.00522,0.00715,0.017,0.026360000000000015,0.0001,0.2,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.009587727708533078
"Optical Density at 520 nm, Filtered",abs/cm,1043,0,0.012480220517737298,0.01,0.00854143546583174,0.0048,0.0066,0.015649999999999997,0.0243,0.0001,0.0587,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0,0.010546500479386385
"Optical Density at 560 nm, Filtered",abs/cm,1043,0,0.009618542665388303,0.0076,0.006944644368009785,0.00332,0.005,0.012,0.0189,0.0,0.06,2000-01-05 09:44:00,2009-10-22 11:30:00,8,32,52.05582606562789,53.680020836129444,-2.6261202323304405,-1.046339241239667,0.0,0.0028763183125599234,0.010546500479386385
"2,4-DB :- {4-(2,4-dichlorophenoxy)butyric acid}",mg/l,1040,0,0.0005065855769230762,8e-05,0.0031179555359253206,4e-05,4e-05,8e-05,0.0005,5e-06,0.0780999999999999,2000-01-04 10:51:00,2014-02-24 11:30:00,12,32,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.010576923076923078
Fenoprop,mg/l,1026,0,9.469298245614027e-05,8e-05,0.00011571801002172895,4e-05,4e-05,8e-05,0.0001,5e-06,0.001,2000-01-04 10:51:00,2014-02-24 11:30:00,12,32,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.008771929824561403
Cyclohexyl Tin as Cation,mg/l,1022,0,1.1429158512717123e-05,2e-06,4.5770008989451345e-05,1e-06,1e-06,1e-05,1e-05,1e-06,0.001,2000-01-05 11:45:00,2014-08-19 11:35:00,15,44,50.515728209386374,55.1690268435549,-5.283105894880979,0.7123807159998174,0.0,0.0,0.003913894324853229
Enterococci: Intestinal: Presumptive: MF,cfu/0.1l,1001,0,94052.81718281718,4700.0,452847.0233730433,63.0,520.0,36000.0,170000.0,10.0,9999999.0,2012-04-17 10:50:00,2025-09-22 13:31:00,14,97,50.07190907067018,54.562269003562164,-5.298094817195826,1.662915728621367,0.0,0.0,0.00999000999000999
Fenchlorphos :- {Ronnel},mg/l,962,0,3.1085758835758835e-05,2.5e-05,0.00016299843329270125,5e-06,1e-05,3e-05,5e-05,5e-06,0.005,2000-01-19 09:20:00,2014-02-24 11:30:00,13,36,50.515728209386374,54.60380955784337,-4.240149177360908,0.5060212042124568,0.0,0.0,0.008316008316008316
"1,4-Dichlorobenzene",mg/l,955,0,0.000725183246073298,0.001,0.0005214457214225381,0.0001,0.0001,0.001,0.001,1e-05,0.01,2000-01-11 13:08:00,2014-02-24 11:30:00,14,58,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.008376963350785341
"1,2,4-Trimethylbenzene",mg/l,930,0,0.008849569892473118,0.01,0.004239316341591787,0.001,0.01,0.01,0.01,7.000000000000001e-05,0.075,2000-01-05 11:30:00,2014-02-24 11:30:00,14,50,50.515728209386374,54.97725957729312,-3.657405622795426,0.5060212042124568,0.0,0.0,0.010752688172043012
