Test,Unit,n_obs,n_missing,mean,median,std,p10,p25,p75,p90,min,max,first_sample,last_sample,n_years,n_sites,lat_min,lat_max,lon_min,lon_max,frac_neg,frac_zero,frac_high
Carbon tetrachloride :- {Tetrachloromethane},mg/l,11920,0,0.0001737124161073825,0.0001,0.0033601721994336343,0.0001,0.0001,0.0001,0.0002,4.2e-05,0.355,2000-01-04 11:30:00,2016-11-23 12:32:00,17,229,50.15131692651347,55.76539182754644,-5.322347051421597,1.344966801706201,0.0,0.0,0.008305369127516778
TDE -pp,mg/l,11906,0,1.0945939022341676e-05,5e-06,0.00010521090504174008,5e-06,5e-06,1e-05,2e-05,3e-07,0.01,2000-01-04 10:51:00,2017-10-19 11:15:00,18,213,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.006551318662859062
DDE -pp,mg/l,11858,0,8.726808905380335e-06,5e-06,5.0485971042592074e-05,5e-06,5e-06,1e-05,1.5e-05,6e-07,0.005,2000-01-04 10:51:00,2017-10-19 11:15:00,18,212,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.010035419126328217
"Nitrogen, Total Inorganic : (Calculated)",mg/l,11760,0,21.58745068027211,21.0,10.189636047872872,9.61,14.6,27.4,33.5,0.23,186.0,2000-01-04 09:05:00,2025-09-19 09:50:00,26,877,50.09557722321026,53.65211875381979,-5.281960389306793,1.7427820456040073,0.0,0.0,0.010034013605442177
Hexachlorobutadiene,mg/l,11722,0,2.054786299266336e-05,1.45e-05,0.00010950153015818891,5e-06,5e-06,2e-05,5e-05,1e-06,0.01,2000-01-04 10:51:00,2017-10-19 11:15:00,18,208,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.006483535232895411
"1,3,5-Trichlorobenzene",mg/l,11534,0,5.009895959771112e-05,3e-05,0.00038492598196952966,1e-05,1e-05,5e-05,5e-05,3e-06,0.01,2000-01-04 10:51:00,2017-10-19 11:15:00,18,202,50.15131692651347,55.76539182754644,-5.322347051421597,0.7123807159998174,0.0,0.0,0.008323218311080285
DDT -op,mg/l,11154,0,1.340308857808858e-05,1e-05,5.0031378279292414e-05,5e-06,5e-06,2e-05,2.5e-05,3e-07,0.005,2000-01-04 10:51:00,2017-10-19 11:15:00,18,211,50.15131692651347,55.76539182754644,-5.322347051421597,1.425529471241605,0.0,0.0,0.002241348395194549
Tributyl Tin as Cation,mg/l,9744,0,0.00015665008518062393,4e-06,0.0031092008386728463,2e-06,2.5e-06,1e-05,4e-05,0.0,0.16,2000-01-05 11:45:00,2025-08-15 10:54:00,26,146,50.15131692651347,55.1690268435549,-5.322347051421597,1.344966801706201,0.0,0.0008210180623973727,0.006260262725779967
"1,1,1-Trichloroethane",mg/l,9675,0,0.00015047441860465088,0.0001,0.0003617477891203927,0.0001,0.0001,0.0001,0.0002,5e-05,0.0233999999999999,2000-01-04 11:30:00,2016-04-19 13:02:00,17,151,50.15131692651347,55.70162646479321,-5.322347051421597,1.344966801706201,0.0,0.0,0.00992248062015504
"Iron, Dissolved",mg/l,9292,0,0.2654576797244942,0.111,2.093850311988586,0.03561,0.0594,0.231,0.4688999999999996,0.0,127.0,2000-01-04 13:25:00,2025-09-25 10:07:00,26,191,50.21740141303312,55.59858395397074,-5.2889659334764065,1.1357957507980339,0.0,0.00010761945759793371,0.009685751183814033
Malathion,mg/l,9127,0,7.037030239947405e-05,1.6e-05,0.0015596765768687427,5e-06,1e-05,2e-05,5e-05,1e-06,0.0947,2000-01-04 10:51:00,2016-04-19 13:02:00,17,127,50.15131692651347,55.156662902851565,-5.336791163641459,1.7341401270856724,0.0,0.0,0.009093897228004822
Atrazine,mg/l,9120,0,0.0001493357072368415,2.5e-05,0.0037907907607609603,6e-06,1e-05,5e-05,0.0001,3e-06,0.2,2000-01-04 09:05:00,2016-04-19 13:02:00,17,127,50.15131692651347,55.156662902851565,-5.336791163641459,1.3714352864107948,0.0,0.0,0.0077850877192982455
Boron,mg/l,9097,0,0.34723793448389584,0.25,0.4442006903865084,0.115,0.161,0.38,0.597,0.00219,16.5,2000-01-05 10:31:00,2025-08-19 14:05:00,26,164,50.21740141303312,55.76539182754644,-5.179031010412471,1.336201758065104,0.0,0.0,0.010003297790480379
COPA,unitless,9045,0,10.370882255389718,10.0,2.477644119873052,10.0,10.0,10.0,10.0,0.0,75.5,2001-01-09 12:00:00,2003-08-05 11:45:00,3,701,50.58140350347391,51.45286418835543,-2.2814649900966515,1.344966801706201,0.0,0.0004422332780541736,0.003648424543946932
